,bigram,frequency
1313,ai_ʔ,3
1314,ai_yː,3
1315,aː_ɛː,3
1316,p:_ʔ,3
1317,z_a͜i,2
1318,ʏ_g,2
1319,yː_uː,2
1320,yː_j,2
1321,yː_eː,2
1322,x_œ,2
1323,ʊ_b,2
1324,uː_ʏ,2
1325,uː_ŋ,2
1326,s_a͜i,2
1327,r_ʔ,2
1328,r_ɔ͜y,2
1329,p_ʔ,2
1330,ɔ͜y_n,2
1331,ɔi_oː,2
1332,oː_ɔi,2
1333,oː_øː,2
1334,oː_ŋ,2
1335,øː_ɛ,2
1336,øː_aː,2
1337,ŋ_ɛː,2
1338,l_ŋ,2
1339,k_ʔ,2
1340,k_a͜u,2
1341,j_ʃ,2
1342,j_s,2
1343,j_p,2
